locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDDCBLLE_03835	CDS	1431	alsT_2		COG1115	Amino-acid carrier protein AlsT
IDDCBLLE_03836	CDS	774	yaaA		COG3022	Peroxide stress resistance protein YaaA
IDDCBLLE_03837	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
IDDCBLLE_03838	CDS	930	thrB	2.7.1.39	COG0083	Homoserine kinase
IDDCBLLE_03839	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
IDDCBLLE_03840	CDS	687	trmL_2	2.1.1.207		tRNA (cytidine(34)-2'-O)-methyltransferase
IDDCBLLE_03841	CDS	717	arcA_2		COG0745	Aerobic respiration control protein ArcA
IDDCBLLE_03842	CDS	315				hypothetical protein
IDDCBLLE_03843	CDS	672	iprA_3			Inhibitor of hydrogen peroxide resistance
IDDCBLLE_03844	CDS	546	fimF_2			Protein FimF
IDDCBLLE_03845	CDS	684	lpfB_2			putative fimbrial chaperone LpfB
IDDCBLLE_03846	CDS	2538	fimD_3		COG3188	Outer membrane usher protein FimD
IDDCBLLE_03847	CDS	558				hypothetical protein
IDDCBLLE_03848	CDS	1086				hypothetical protein
IDDCBLLE_03849	CDS	1143	creD_1		COG4452	Inner membrane protein CreD
IDDCBLLE_03850	CDS	228	creD_2		COG4452	Inner membrane protein CreD
IDDCBLLE_03851	CDS	1425	creC	2.7.13.3	COG0642	Sensor protein CreC
IDDCBLLE_03852	CDS	690	creB		COG0745	Transcriptional regulatory protein CreB
IDDCBLLE_03853	CDS	489				hypothetical protein
IDDCBLLE_03854	CDS	108				hypothetical protein
IDDCBLLE_03855	CDS	870	rob_2		COG2207	Right origin-binding protein
IDDCBLLE_03856	tRNA	94				tRNA-Gly(ccc)
IDDCBLLE_03857	CDS	516	yjjX	3.6.1.-	COG1986	Inosine/xanthosine triphosphatase
IDDCBLLE_03858	CDS	327	trpR		COG2973	Trp operon repressor
IDDCBLLE_03859	CDS	1938	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
IDDCBLLE_03860	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
IDDCBLLE_03861	CDS	1233	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
IDDCBLLE_03862	CDS	1383	radA	3.6.4.-	COG1066	DNA repair protein RadA
IDDCBLLE_03863	CDS	969	serB	3.1.3.3	COG0560	Phosphoserine phosphatase
IDDCBLLE_03864	CDS	645	ytjB		COG3726	putative inner membrane protein Smp
IDDCBLLE_03865	CDS	1017	lplA	6.3.1.20	COG0095	Lipoate-protein ligase A
IDDCBLLE_03866	CDS	1329	yjjJ	2.-.-.-		Toxin YjjJ
IDDCBLLE_03867	CDS	720	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
IDDCBLLE_03868	CDS	1224	deoB	5.4.2.7	COG1015	Phosphopentomutase
IDDCBLLE_03869	CDS	1323	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
IDDCBLLE_03870	CDS	780	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
IDDCBLLE_03871	CDS	1551	yjjI			putative protein YjjI
IDDCBLLE_03872	CDS	588	yjjW	1.97.1.-	COG1180	Putative glycyl-radical enzyme activating enzyme YjjW
IDDCBLLE_03873	CDS	774	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
IDDCBLLE_03874	CDS	693				hypothetical protein
IDDCBLLE_03875	CDS	450				hypothetical protein
IDDCBLLE_03876	CDS	162				hypothetical protein
IDDCBLLE_03877	CDS	618	osmY_3		COG2823	Osmotically-inducible protein Y
IDDCBLLE_03878	CDS	1590	prfC		COG4108	Peptide chain release factor RF3
IDDCBLLE_03879	CDS	681	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
IDDCBLLE_03880	CDS	447	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
IDDCBLLE_03881	CDS	438	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
IDDCBLLE_03882	CDS	1029	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
IDDCBLLE_03883	CDS	741	artJ_2		COG0834	ABC transporter arginine-binding protein 1
IDDCBLLE_03884	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
IDDCBLLE_03885	CDS	1053	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
IDDCBLLE_03886	CDS	969	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
IDDCBLLE_03887	CDS	3327	mscM		COG3264	Miniconductance mechanosensitive channel MscM
IDDCBLLE_03888	CDS	315	yjeO			Inner membrane protein YjeO
IDDCBLLE_03889	CDS	1503	yjeM			Inner membrane transporter YjeM
IDDCBLLE_03890	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
IDDCBLLE_03891	CDS	1791	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
IDDCBLLE_03892	CDS	735	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
IDDCBLLE_03893	CDS	396	frdC		COG3029	Fumarate reductase subunit C
IDDCBLLE_03894	CDS	360	frdD		COG3080	Fumarate reductase subunit D
IDDCBLLE_03895	CDS	534	blc		COG3040	Outer membrane lipoprotein Blc
IDDCBLLE_03896	CDS	318	gdx			Guanidinium exporter
IDDCBLLE_03897	CDS	588	rcsA_2			Transcriptional regulatory protein RcsA
IDDCBLLE_03898	CDS	174				hypothetical protein
IDDCBLLE_03899	CDS	567	efp		COG0231	Elongation factor P
IDDCBLLE_03900	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
IDDCBLLE_03901	CDS	858				hypothetical protein
IDDCBLLE_03902	CDS	354				hypothetical protein
IDDCBLLE_03903	CDS	1647	groL			60 kDa chaperonin
IDDCBLLE_03904	CDS	294	groS		COG0234	10 kDa chaperonin
IDDCBLLE_03905	CDS	1263	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
IDDCBLLE_03906	CDS	516				hypothetical protein
IDDCBLLE_03907	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
IDDCBLLE_03908	CDS	1302	dcuA_2		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
IDDCBLLE_03909	CDS	348	cutA		COG1324	Divalent-cation tolerance protein CutA
IDDCBLLE_03910	CDS	1704	dsbD_2	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
IDDCBLLE_03911	CDS	576				hypothetical protein
IDDCBLLE_03912	tRNA	76				tRNA-Phe(gaa)
IDDCBLLE_03913	CDS	753	phoC	3.1.3.2		Major phosphate-irrepressible acid phosphatase
IDDCBLLE_03914	CDS	492				hypothetical protein
IDDCBLLE_03915	CDS	294				hypothetical protein
IDDCBLLE_03916	CDS	876	gadX_1			HTH-type transcriptional regulator GadX
IDDCBLLE_03917	CDS	273				hypothetical protein
IDDCBLLE_03918	CDS	363				hypothetical protein
IDDCBLLE_03919	CDS	861	yjiK_2		COG3204	putative protein YjiK
IDDCBLLE_03920	CDS	1401				hypothetical protein
IDDCBLLE_03921	CDS	594	dmsD_2		COG3381	Tat proofreading chaperone DmsD
IDDCBLLE_03922	CDS	774	dmsC_4		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
IDDCBLLE_03923	CDS	627	dmsB_4		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
IDDCBLLE_03924	CDS	2430	dmsA_3	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
IDDCBLLE_03925	CDS	1632	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
IDDCBLLE_03926	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
IDDCBLLE_03927	CDS	267				hypothetical protein
IDDCBLLE_03928	CDS	1341	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
IDDCBLLE_03929	CDS	1647	fumB_1	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
IDDCBLLE_03930	CDS	1431	melB		COG2211	Melibiose carrier protein
IDDCBLLE_03931	CDS	1353	melA	3.2.1.22	COG1486	Alpha-galactosidase
IDDCBLLE_03932	CDS	933	melR			Melibiose operon regulatory protein
IDDCBLLE_03933	CDS	2271	adiA	4.1.1.19	COG1982	Biodegradative arginine decarboxylase
IDDCBLLE_03934	CDS	762	gadX_2			HTH-type transcriptional regulator GadX
IDDCBLLE_03935	CDS	1338	adiC		COG0531	Arginine/agmatine antiporter
IDDCBLLE_03936	CDS	1503	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
IDDCBLLE_03937	CDS	669	basR			Transcriptional regulatory protein BasR
IDDCBLLE_03938	CDS	1080	basS	2.7.13.3		Sensor protein BasS
IDDCBLLE_03939	CDS	90				hypothetical protein
IDDCBLLE_03940	CDS	1503	proP_2			Proline/betaine transporter
IDDCBLLE_03941	CDS	336				hypothetical protein
IDDCBLLE_03942	CDS	444				hypothetical protein
IDDCBLLE_03943	CDS	435	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
IDDCBLLE_03944	CDS	909				hypothetical protein
IDDCBLLE_03945	CDS	420	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
IDDCBLLE_03946	CDS	1680	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
IDDCBLLE_03947	CDS	690				hypothetical protein
IDDCBLLE_03948	CDS	1311	gltP		COG1301	Proton/glutamate-aspartate symporter
IDDCBLLE_03949	CDS	621	nrfG		COG4235	Formate-dependent nitrite reductase complex subunit NrfG
IDDCBLLE_03950	CDS	2223				hypothetical protein
IDDCBLLE_03951	CDS	957				hypothetical protein
IDDCBLLE_03952	CDS	672	ydhX		COG0437	putative ferredoxin-like protein YdhX
IDDCBLLE_03953	CDS	567	nrfB			Cytochrome c-type protein NrfB
IDDCBLLE_03954	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
IDDCBLLE_03955	CDS	1959	acs_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
IDDCBLLE_03956	CDS	315	yjcH		COG3162	Inner membrane protein YjcH
IDDCBLLE_03957	CDS	1650	actP_2		COG4147	Cation/acetate symporter ActP
IDDCBLLE_03958	CDS	690	yohK_2		COG1346	Inner membrane protein YohK
IDDCBLLE_03959	CDS	411	cidA			Holin-like protein CidA
IDDCBLLE_03960	CDS	888	oxyR_2			Hydrogen peroxide-inducible genes activator
IDDCBLLE_03961	CDS	1647	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
IDDCBLLE_03962	CDS	1350	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
IDDCBLLE_03963	CDS	669				hypothetical protein
IDDCBLLE_03964	CDS	459	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
IDDCBLLE_03965	CDS	324	soxS			Regulatory protein SoxS
IDDCBLLE_03966	CDS	1602	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
IDDCBLLE_03967	CDS	282				hypothetical protein
IDDCBLLE_03968	CDS	2067	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IDDCBLLE_03969	CDS	9213				hypothetical protein
IDDCBLLE_03970	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
IDDCBLLE_03971	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
IDDCBLLE_03972	CDS	615	yigZ		COG1739	IMPACT family member YigZ
IDDCBLLE_03973	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
IDDCBLLE_03974	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
IDDCBLLE_03975	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
IDDCBLLE_03976	CDS	1824	assT_5	2.8.2.22		Arylsulfate sulfotransferase AssT
IDDCBLLE_03977	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
IDDCBLLE_03978	CDS	1479	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
IDDCBLLE_03979	CDS	489	rfaH_1		COG0250	Transcription antitermination protein RfaH
IDDCBLLE_03980	CDS	795	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
IDDCBLLE_03981	CDS	780	tatC		COG0805	Sec-independent protein translocase protein TatC
IDDCBLLE_03982	CDS	549	tatB		COG1826	Sec-independent protein translocase protein TatB
IDDCBLLE_03983	CDS	255	tatA		COG1826	Sec-independent protein translocase protein TatA
IDDCBLLE_03984	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
IDDCBLLE_03985	CDS	606	ubiJ_2		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
IDDCBLLE_03986	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
IDDCBLLE_03987	CDS	1431				hypothetical protein
IDDCBLLE_03988	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
IDDCBLLE_03989	CDS	690	clcD	3.1.1.45		Carboxymethylenebutenolidase
IDDCBLLE_03990	CDS	1296	chuR_3	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
IDDCBLLE_03991	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
IDDCBLLE_03992	CDS	954	metR			HTH-type transcriptional regulator MetR
IDDCBLLE_03993	CDS	900	bioP		COG0697	Biotin transporter
IDDCBLLE_03994	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
IDDCBLLE_03995	CDS	1017	pldB	3.1.1.5	COG2267	Lysophospholipase L2
IDDCBLLE_03996	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
IDDCBLLE_03997	CDS	621	rhtC_2		COG1280	Threonine efflux protein
IDDCBLLE_03998	CDS	1848	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
IDDCBLLE_03999	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
IDDCBLLE_04000	CDS	468				hypothetical protein
IDDCBLLE_04001	CDS	888	rarD_2		COG2962	Protein RarD
IDDCBLLE_04002	CDS	297				hypothetical protein
IDDCBLLE_04003	CDS	474				hypothetical protein
IDDCBLLE_04004	CDS	951	corA		COG0598	Magnesium transport protein CorA
IDDCBLLE_04005	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
IDDCBLLE_04006	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
IDDCBLLE_04007	CDS	903	xerC_2		COG4973	Tyrosine recombinase XerC
IDDCBLLE_04008	CDS	708				hypothetical protein
IDDCBLLE_04009	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
IDDCBLLE_04010	CDS	204				hypothetical protein
IDDCBLLE_04011	CDS	252				hypothetical protein
IDDCBLLE_04012	CDS	234				hypothetical protein
IDDCBLLE_04013	CDS	381				hypothetical protein
IDDCBLLE_04014	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
IDDCBLLE_04015	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
IDDCBLLE_04016	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
IDDCBLLE_04017	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
IDDCBLLE_04018	CDS	1170	hemX		COG2959	Protein HemX
IDDCBLLE_04019	CDS	1200	hemY		COG3071	Protein HemY
IDDCBLLE_04020	tRNA	77				tRNA-Pro(tgg)
IDDCBLLE_04021	tRNA	87				tRNA-Leu(cag)
IDDCBLLE_04022	tRNA	76				tRNA-His(gtg)
IDDCBLLE_04023	tRNA	77				tRNA-Arg(ccg)
IDDCBLLE_04024	CDS	1386	yifK		COG1113	putative transport protein YifK
IDDCBLLE_04025	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
IDDCBLLE_04026	CDS	1359	wzyE			putative ECA polymerase
IDDCBLLE_04027	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
IDDCBLLE_04028	CDS	1251	wzxE		COG2244	Lipid III flippase
IDDCBLLE_04029	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
IDDCBLLE_04030	CDS	678	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
IDDCBLLE_04031	CDS	225				hypothetical protein
IDDCBLLE_04032	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
IDDCBLLE_04033	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
IDDCBLLE_04034	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
IDDCBLLE_04035	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
IDDCBLLE_04036	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
IDDCBLLE_04037	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
IDDCBLLE_04038	CDS	330	trxA		COG0526	Thioredoxin 1
IDDCBLLE_04039	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
IDDCBLLE_04040	CDS	1482	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
IDDCBLLE_04041	CDS	2025	rep_2	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
IDDCBLLE_04042	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
IDDCBLLE_04043	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
IDDCBLLE_04044	CDS	888	oxyR_3			Hydrogen peroxide-inducible genes activator
IDDCBLLE_04045	CDS	342				hypothetical protein
IDDCBLLE_04046	CDS	363				hypothetical protein
IDDCBLLE_04047	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
IDDCBLLE_04048	CDS	1851	ilvD_2	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
IDDCBLLE_04049	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
IDDCBLLE_04050	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
IDDCBLLE_04051	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
IDDCBLLE_04052	CDS	1521	comM		COG0606	Competence protein ComM
IDDCBLLE_04053	CDS	339				hypothetical protein
IDDCBLLE_04054	CDS	837	hdfR_3			HTH-type transcriptional regulator HdfR
IDDCBLLE_04055	tRNA	76				tRNA-Trp(cca)
IDDCBLLE_04056	tRNA	77				tRNA-Asp(gtc)
IDDCBLLE_04057	CDS	270	intA_2		COG0582	Prophage integrase IntA
IDDCBLLE_04058	tRNA	76				tRNA-Thr(cgt)
IDDCBLLE_04059	CDS	1248	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
IDDCBLLE_04060	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
IDDCBLLE_04061	CDS	1053	phoE		COG3203	Outer membrane porin PhoE
IDDCBLLE_04062	CDS	402	crl			Sigma factor-binding protein Crl
IDDCBLLE_04063	CDS	1245				hypothetical protein
IDDCBLLE_04064	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
IDDCBLLE_04065	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
IDDCBLLE_04066	CDS	615	prfB_2		COG1186	Peptide chain release factor RF2
IDDCBLLE_04067	CDS	1140	rtcB_2	6.5.1.-	COG1690	RNA-splicing ligase RtcB
IDDCBLLE_04068	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
IDDCBLLE_04069	CDS	741				hypothetical protein
IDDCBLLE_04070	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
IDDCBLLE_04071	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
IDDCBLLE_04072	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
IDDCBLLE_04073	CDS	768	yafV	3.5.1.3		Omega-amidase YafV
IDDCBLLE_04074	CDS	408				hypothetical protein
IDDCBLLE_04075	CDS	720	pagN		COG3637	Outer membrane protein PagN
IDDCBLLE_04076	CDS	948	dmlR_5			HTH-type transcriptional regulator DmlR
IDDCBLLE_04077	CDS	612				hypothetical protein
IDDCBLLE_04078	CDS	822				hypothetical protein
IDDCBLLE_04079	CDS	471				hypothetical protein
IDDCBLLE_04080	CDS	2511	caf1A_2		COG3188	F1 capsule-anchoring protein
IDDCBLLE_04081	CDS	513	caf1M_2		COG3121	Chaperone protein caf1M
IDDCBLLE_04082	CDS	279				IS3 family transposase IS1351
IDDCBLLE_04083	CDS	243				hypothetical protein
IDDCBLLE_04084	CDS	222				hypothetical protein
IDDCBLLE_04085	CDS	432				hypothetical protein
IDDCBLLE_04086	CDS	249				hypothetical protein
IDDCBLLE_04087	CDS	258	symE	3.1.-.-		Endoribonuclease SymE
IDDCBLLE_04088	CDS	447				hypothetical protein
IDDCBLLE_04089	CDS	2775	rhsA	3.1.-.-	COG3209	putative deoxyribonuclease RhsA
IDDCBLLE_04090	CDS	339				hypothetical protein
IDDCBLLE_04091	CDS	93				hypothetical protein
IDDCBLLE_04092	CDS	129				hypothetical protein
IDDCBLLE_04093	CDS	438				hypothetical protein
IDDCBLLE_04094	CDS	3687	rhsB	3.1.-.-	COG3209	putative deoxyribonuclease RhsB
IDDCBLLE_04095	CDS	447				hypothetical protein
IDDCBLLE_04096	CDS	2190				hypothetical protein
IDDCBLLE_04097	CDS	519				hypothetical protein
IDDCBLLE_04098	CDS	387				hypothetical protein
IDDCBLLE_04099	CDS	627				hypothetical protein
IDDCBLLE_04100	CDS	3870				hypothetical protein
IDDCBLLE_04101	CDS	357				hypothetical protein
IDDCBLLE_04102	CDS	774				hypothetical protein
IDDCBLLE_04103	CDS	1305	pal_2			Peptidoglycan-associated lipoprotein
IDDCBLLE_04104	CDS	1344				hypothetical protein
IDDCBLLE_04105	CDS	537				hypothetical protein
IDDCBLLE_04106	CDS	486	hcp1_2		COG3157	Protein hcp1
IDDCBLLE_04107	CDS	447				hypothetical protein
IDDCBLLE_04108	CDS	387				hypothetical protein
IDDCBLLE_04109	CDS	1509				hypothetical protein
IDDCBLLE_04110	CDS	537				hypothetical protein
IDDCBLLE_04111	CDS	2640	clpV1_2		COG0542	Protein ClpV1
IDDCBLLE_04112	CDS	903				hypothetical protein
IDDCBLLE_04113	CDS	825				hypothetical protein
IDDCBLLE_04114	CDS	495				hypothetical protein
IDDCBLLE_04115	CDS	1923				hypothetical protein
IDDCBLLE_04116	CDS	936				hypothetical protein
IDDCBLLE_04117	CDS	1056				hypothetical protein
IDDCBLLE_04118	tRNA	77				tRNA-Asp(gtc)
IDDCBLLE_04119	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
IDDCBLLE_04120	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
IDDCBLLE_04121	CDS	723				hypothetical protein
IDDCBLLE_04122	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase
IDDCBLLE_04123	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
IDDCBLLE_04124	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
IDDCBLLE_04125	CDS	801				hypothetical protein
IDDCBLLE_04126	CDS	1176	ydhP		COG2814	Inner membrane transport protein YdhP
IDDCBLLE_04127	CDS	915	dmlR_6			HTH-type transcriptional regulator DmlR
IDDCBLLE_04128	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
IDDCBLLE_04129	CDS	1401				hypothetical protein
IDDCBLLE_04130	CDS	633	torD_2		COG3381	Chaperone protein TorD
IDDCBLLE_04131	CDS	2553	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
IDDCBLLE_04132	CDS	1185	torC		COG3005	Cytochrome c-type protein TorC
IDDCBLLE_04133	CDS	729	torR		COG0745	TorCAD operon transcriptional regulatory protein TorR
IDDCBLLE_04134	CDS	1041	torT		COG1879	Periplasmic protein TorT
IDDCBLLE_04135	CDS	2736	torS	2.7.13.3	COG0784	Sensor protein TorS
IDDCBLLE_04136	CDS	1293	dgoT			D-galactonate transporter
IDDCBLLE_04137	CDS	1149	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
IDDCBLLE_04138	CDS	618	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
IDDCBLLE_04139	CDS	879	dgoK1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
IDDCBLLE_04140	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
IDDCBLLE_04141	CDS	846	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
IDDCBLLE_04142	CDS	1263	sauU_3			putative sulfoacetate transporter SauU
IDDCBLLE_04143	CDS	1191	dgoD_2	4.2.1.6	COG4948	D-galactonate dehydratase
IDDCBLLE_04144	CDS	897	benM_2			HTH-type transcriptional regulator BenM
IDDCBLLE_04145	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
IDDCBLLE_04146	CDS	1074	recF_2		COG1195	DNA replication and repair protein RecF
IDDCBLLE_04147	CDS	1101	dnaN		COG0592	Beta sliding clamp
IDDCBLLE_04148	CDS	1401	dnaA		COG0593	Chromosomal replication initiator protein DnaA
IDDCBLLE_04149	CDS	198				hypothetical protein
IDDCBLLE_04150	CDS	1647	yidC			Membrane protein insertase YidC
IDDCBLLE_04151	CDS	1404	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
IDDCBLLE_04152	CDS	1188	mdtL			Multidrug resistance protein MdtL
IDDCBLLE_04153	CDS	960	yidZ_2			HTH-type transcriptional regulator YidZ
IDDCBLLE_04154	CDS	756				hypothetical protein
IDDCBLLE_04155	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
IDDCBLLE_04156	CDS	1338	adeP		COG2252	Adenine permease AdeP
IDDCBLLE_04157	CDS	666	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
IDDCBLLE_04158	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
IDDCBLLE_04159	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
IDDCBLLE_04160	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
IDDCBLLE_04161	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
IDDCBLLE_04162	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
IDDCBLLE_04163	CDS	657	fruA_2		COG1299	PTS system fructose-specific EIIB'BC component
IDDCBLLE_04164	CDS	765	fruA_3		COG1299	PTS system fructose-specific EIIB'BC component
IDDCBLLE_04165	CDS	819	sdhL	1.1.1.25	COG0169	Shikimate dehydrogenase-like protein
IDDCBLLE_04166	CDS	1791	sgrR_4		COG4533	HTH-type transcriptional regulator SgrR
IDDCBLLE_04167	CDS	1830	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
